Bezirk,Ortsteil,Ortsteil Abkürzung
ChWi,Charlottenburg-Wilmersdorf,
ChWi,Charlottenburg,Charl
ChWi,Charlottenburg-Nord,CharN
ChWi,Grunewald,Grune
ChWi,Halensee,Halen
ChWi,Schmargendorf,Schma
ChWi,Westend,Weste
ChWi,Wilmersdorf,Wilmd
FrKr,Friedrichshain-Kreuzberg,
FrKr,Friedrichshain,Frhai
FrKr,Kreuzberg,Kreuz
Lich,Lichtenberg,
Lich,Alt-Hohenschönhausen,AHohs
Lich,Falkenberg,Falkb
Lich,Fennpfuhl,Fenpf
Lich,Friedrichsfelde,Frife
Lich,Karlshorst,Karlh
Lich,Lichtenberg,Liber
Lich,Malchow,Malch
Lich,Neu-Hohenschönhausen,NHohs
Lich,Rummelsburg,Rumbg
Lich,Wartenberg,Wartb
MaHe,Marzahn-Hellersdorf,
MaHe,Biesdorf,Biesd
MaHe,Hellersdorf,Helld
MaHe,Kaulsdorf,Kauld
MaHe,Mahlsdorf,Mahld
MaHe,Marzahn,Marza
Mitt,Mitte,
Mitt,Gesundbrunnen,Gesbr
Mitt,Hansaviertel,Hansa
Mitt,Mitte,Mitte
Mitt,Moabit,Moabi
Mitt,Tiergarten,Tierg
Mitt,Wedding,Weddg
Neuk,Neukölln,
Neuk,Britz,Britz
Neuk,Buckow,Buckw
Neuk,Gropiusstadt,Grops
Neuk,Neukölln,Neukö
Neuk,Rudow,Rudow
Pank,Pankow,
Pank,Blankenburg,Blanb
Pank,Blankenfelde,Blanf
Pank,Buch,Buch
Pank,Französisch Buchholz,FrzBu
Pank,Heinersdorf,Heind
Pank,Karow,Karow
Pank,Niederschönhausen,Nieds
Pank,Pankow,Panko
Pank,Prenzlauer Berg,Prenz
Pank,Rosenthal,Roset
Pank,Stadtrandsiedlung,
Pank,Malchow,StaMa
Pank,Weißensee,Weißs
Pank,Wilhelmsruh,Wilhe
Rein,Reinickendorf,
Rein,Borsigwalde,Borwa
Rein,Frohnau,Frohn
Rein,Heiligensee,Heils
Rein,Hermsdorf,Hermd
Rein,Konradshöhe,Konhö
Rein,Lübars,Lübar
Rein,Märkisches Viertel,MärkV
Rein,Reinickendorf,Reind
Rein,Tegel,Tegel
Rein,Waidmannslust,Waid
Rein,Wittenau,Wittn
Span,Spandau,
Span,Falkenhagener Feld,FalFe
Span,Gatow,Gatow
Span,Hakenfelde,Haken
Span,Haselhorst,Hasel
Span,Kladow,Klado
Span,Siemensstadt,Sieme
Span,Spandau,Spand
Span,Staaken,Staak
Span,Wilhelmstadt,Wilst
StZe,Steglitz-Zehlendorf,
StZe,Dahlem,Dahle
StZe,Lankwitz,Lankw
StZe,Lichterfelde,Lifel
StZe,Nikolassee,Nikol
StZe,Steglitz,Stegl
StZe,Wannsee,Wann
StZe,Zehlendorf,Zehld
TrKö,Treptow-Köpenick,
TrKö,Adlershof,Adler
TrKö,Altglienicke,Altgl
TrKö,Alt-Treptow,Alttr
TrKö,Baumschulenweg,Baum
TrKö,Bohnsdorf,Bohnd
TrKö,Friedrichshagen,Frihg
TrKö,Grünau,Grüna
TrKö,Johannisthal,Johth
TrKö,Köpenick,Köpen
TrKö,Müggelheim,Mügg
TrKö,Niederschöneweide,Niesw
TrKö,Oberschöneweide,Obers
TrKö,Plänterwald,Plänt
TrKö,Rahnsdorf,Rahnd
TrKö,Schmöckwitz,Schm
TSch,Tempelhof-Schöneberg,
TSch,Friedenau,Fried
TSch,Lichtenrade,Lirad
TSch,Mariendorf,Mardf
TSch,Marienfelde,Marfe
TSch,Schöneberg,Schön
TSch,Tempelhof,Temp